,huc12,i,j,wght
179,020402070201,15,26,0.15881092165731517
180,020402070201,15,25,0.015179412829697285
181,020402050403,28,25,0.011301298810384944
182,020402050403,29,25,0.1668743898903017
183,020402050403,30,24,0.22147359951042697
184,020402050403,29,24,0.39544299047664716
185,020402050403,30,23,0.09124904022241671
186,020402050403,29,23,0.11365868108982297
187,020401040505,76,31,0.0036188788206781043
188,020401040505,78,30,0.08414670296031994
189,020401040505,77,30,0.09237795760364396
190,020401040505,76,30,0.06714105710547147
191,020401040505,78,29,0.08450423978541699
192,020401040505,77,29,0.13959068400146138
193,020401040505,76,29,0.02973640044567913
194,020401040505,80,29,0.0043327138629718235
195,020401040505,79,29,0.03489980467828675
196,020401040505,79,28,0.012650598713040284
197,020401040505,78,28,0.06326648191070851
198,020401040505,77,28,0.1419955534523446
199,020401040505,76,28,0.07763308962134782
200,020401040505,79,27,0.014342311060964119
201,020401040505,78,27,0.02478473482011571
202,020401040505,77,27,0.007858937530245193
203,020401040505,76,27,0.003308323144467465
204,020401040505,79,31,0.0006467767390789144
205,020401040505,80,30,0.006809319842304332
206,020401040505,79,30,0.10635543390144984
207,020401040305,83,32,0.003475207345599199
208,020401040305,84,32,2.4403935988881782e-06
209,020401040305,83,31,0.03155451542344243
210,020401040305,89,30,0.00305137523064641
211,020401040305,85,31,0.03814626445329485
212,020401040305,84,31,0.09058002957680895
213,020401040305,88,30,0.0474889674453297
214,020401040305,87,30,0.06667522605246526
215,020401040305,86,30,0.0939407848492476
216,020401040305,85,30,0.10564886768802609
217,020401040305,84,30,0.05051262224576189
218,020401040305,88,29,0.13708135530160764
219,020401040305,87,29,0.0875851192168018
220,020401040305,86,29,0.043314372954040385
221,020401040305,89,29,0.09186202530063295
222,020401040305,89,28,0.006292254997130649
223,020401040305,85,29,0.0015662042711624322
224,020401040305,88,28,0.0998073511140602
225,020401040305,87,28,0.000324629328357226
226,020401040305,88,27,0.0010903868119852241
227,020402031007,38,29,0.07981659991058668
228,020402031007,40,28,0.043169724895896884
229,020402031007,39,28,0.09410880045638195
230,020402031007,38,28,0.11907164493850905
231,020402031007,41,27,0.004692367990338535
232,020402031007,40,27,0.10753058962093498
233,020402031007,39,27,0.11907345982608238
234,020402031007,38,27,0.11649652346524597
235,020402031007,40,26,0.02014770949462682
236,020402031007,39,26,0.08127804634044966
237,020402031007,38,26,0.08748779722404874
238,020402031007,38,25,0.009969391750117212
239,020402031007,38,30,0.0005710894825683504
240,020402031007,39,29,0.001561537822026296
241,020402031007,37,30,0.00016274059256885868
242,020402031007,37,29,0.03420817613590711
243,020402031007,37,28,0.04853879126152598
244,020402031007,37,27,0.027154192382438488
245,020402031007,37,26,0.00241676967363125
246,020402031007,37,25,0.0025440467361150794
247,020401020302,103,27,0.03611485839388092
248,020401020302,102,28,0.0015222588517357063
249,020401020302,102,27,0.10504808781414002
250,020401020302,101,27,0.05951622911842857
251,020401020302,100,27,0.004819260715276792
252,020401020302,99,27,0.0035879782461736938
253,020401020302,98,27,0.0038029391205633653
254,020401020302,102,26,0.12472768021219251
255,020401020302,101,26,0.12780982380438663
256,020401020302,100,26,0.1258849783757251
257,020401020302,99,26,0.12087786257090503
258,020401020302,98,26,0.02222345621038546
259,020401020302,102,25,0.024729546595984562
260,020401020302,101,25,0.09834680158565139
261,020401020302,100,25,0.056926898237821634
262,020401020302,99,25,0.027674574821142998
263,020401020302,103,26,0.05451677426067039
264,020401020302,101,24,0.0018699910649359074
265,020401040308,78,32,0.09292111771137795
266,020401040308,77,32,0.055415424852128546
267,020401040308,76,32,0.003116412879869095
268,020401040308,78,31,0.14601267317131253
269,020401040308,77,31,0.14601515461495174
270,020401040308,74,31,0.0019965687880326706
271,020401040308,76,31,0.1309054125586941
272,020401040308,75,31,0.11151254224447761
273,020401040308,78,30,0.06177240921070418
274,020401040308,77,30,0.0535345813347993
275,020401040308,76,30,0.0035778549162624744
276,020401040308,75,30,0.07143695314077694
277,020401040308,75,29,2.4819062748335613e-06
278,020401040308,74,30,0.02587939222562404
279,020401040308,74,29,3.41243611055429e-05
280,020401040308,79,32,0.02392846287465762
281,020401040308,79,31,0.06110612417788993
282,020401040308,79,30,0.010832309031060963
283,020402030302,51,12,0.015983820242632098
284,020402030302,50,12,0.09744549053425422
285,020402030302,51,11,0.16804309847067578
286,020402030302,50,11,0.3298428657644192
287,020402030302,49,11,0.0017678154196639603
288,020402030302,51,10,0.05537709478570401
289,020402030302,50,10,0.2738727716700213
290,020402030302,49,10,0.05463205732167389
291,020402030302,50,9,0.003034985790955257
292,020401050602,60,25,0.011408081991090903
293,020401050602,61,25,0.0088330508719161
294,020401050602,59,25,0.0744397156667249
295,020401050602,58,25,0.038958561472826864
296,020401050602,60,24,0.1234917939374435
297,020401050602,59,24,0.1341889637910486
298,020401050602,58,24,0.035088430627335646
299,020401050602,60,23,0.1395416201769388
300,020401050602,59,23,0.04926700807892832
301,020401050602,63,24,0.0001893187695228563
302,020401050602,62,24,0.0866614631540256
303,020401050602,61,24,0.13248283644235606
304,020401050602,62,23,0.032878308389082844
305,020401050602,61,23,0.11881691213068485
306,020401050602,61,22,5.337859351649021e-05
307,020401050602,60,22,0.013700555906557452
308,020401060310,60,14,0.02701259641230666
309,020401060310,59,14,0.07104496970111615
310,020401060310,58,14,0.08339506790552938
311,020401060310,57,14,0.096537180683278
312,020401060310,60,13,0.0016351846788692625
313,020401060310,59,13,0.12736036352417646
314,020401060310,58,13,0.14205046868870774
315,020401060310,57,13,0.12535123616110097
316,020401060310,59,12,0.07394398058004832
317,020401060310,58,12,0.06646456516340093
318,020401060310,57,12,0.03713736049260475
319,020401060310,56,15,0.002197414009503619
320,020401060310,56,14,0.011899619874532317
321,020401060310,56,13,0.000997730960186437
322,020401060310,56,12,0.03798120980291701
323,020401060310,56,11,0.054018386203118045
324,020401060310,55,11,0.02961889741799135
325,020401060310,55,10,0.011353767740613679
